Customer,Default,card_class,Gender,Education,Marital_Status,Age,Credit_Limit,Jun_Status,May_Status,Apr_Status,Mar_Status,Feb_Status,Jan_Status,Jun_Bill,May_Bill,Apr_Bill,Mar_Bill,Feb_Bill,Jan_Bill,Jun_Payment,May_Payment,Apr_Payment,Mar_Payment,Feb_Payment,Jan_Payment,Jun_PayPercent,May_PayPercent,Apr_PayPercent,Mar_PayPercent,Feb_PayPercent,Jan_PayPercent
1230,0,1,1,3,2,46,1700,0,0,0,0,0,0,1714.48,962.8,709.51,944.74,547.71,572.71,47.47,68.78,34.41,34.2,34.2,34.2,0.0277,0.0714,0.0485,0.0362,0.0624,0.0597
26676,0,1,1,2,2,24,1700,0,0,0,0,0,0,1730.62,1713.97,1643.75,1497.52,315.53,329.28,85.5,85.67,86.56,18.13,68.4,34.2,0.0494,0.05,0.0527,0.0121,0.2168,0.1039
21278,0,1,1,2,1,50,700,0,0,0,0,0,2,188.75,226.4,258.42,293.09,342.68,332.25,41.04,41.04,44.46,54.72,0,20.52,0.2174,0.1813,0.172,0.1867,0,0.0618
22051,0,2,,,2,,4100,-1,-1,-1,-1,-1,-1,11.22,14.12,102.84,65.9,62.86,84.54,14.26,103.01,65.9,62.86,84.54,80.06,1,1,0.6408,0.9539,1,0.947
19021,0,2,2,1,2,28,8200,0,0,0,0,0,0,8423.8,8558.62,8555.78,8532.73,6578.99,6723.21,359.1,338.58,373.02,239.4,273.6,257.7,0.0426,0.0396,0.0436,0.0281,0.0416,0.0383
6137,0,3,1,2,2,30,10900,0,0,0,0,0,0,1014.65,1035.64,1051.21,919.13,900.08,885.1,46.27,41.86,25.27,25.38,25.68,24.04,0.0456,0.0404,0.024,0.0276,0.0285,0.0272
10780,0,2,2,3,1,48,4400,0,-1,-1,-1,-1,-1,464.09,26.85,52.46,13.58,761.36,8.58,26.85,52.46,13.58,761.36,8.58,47.2,0.0579,1,0.2589,1,0.0113,1
8219,0,1,2,2,2,,1000,0,0,0,0,0,0,1094.61,2054.7,919.36,942.89,960.17,994.02,60.02,51.3,38.82,37.62,49.76,26.51,0.0548,0.025,0.0422,0.0399,0.0518,0.0267
14126,0,2,,,2,,7200,0,-1,0,0,0,0,225.99,122.5,2172.62,1097.41,572.2,2139.59,122.5,2154.6,684,171,1790.13,513,0.5421,1,0.3148,0.1558,1,0.2398
9901,0,1,2,2,1,39,700,1,2,0,0,0,0,669.12,648.71,670.73,554.48,574.97,628.66,0,44.46,24.52,34.2,68.4,34.2,0,0.0685,0.0366,0.0617,0.119,0.0544
13534,0,1,1,3,2,41,1700,0,0,0,0,0,0,530.17,494.05,353.59,368.2,374.32,383.52,51.3,51.3,20.52,17.1,20.52,17.1,0.0968,0.1038,0.058,0.0464,0.0548,0.0446
16726,0,2,1,1,2,33,5100,0,0,0,0,0,0,3215.48,2668.9,2160.62,1806,1169.61,1096.49,103.97,171,345.97,171,205.2,102.6,0.0323,0.0641,0.1601,0.0947,0.1754,0.0936
8102,0,1,1,2,2,39,1700,0,0,0,0,0,0,1620.33,1652.99,1663.42,1682.88,1696.29,1730.31,71.99,61.56,59.34,66.28,67.03,68.4,0.0444,0.0372,0.0357,0.0394,0.0395,0.0395
15484,0,3,1,1,1,45,17100,-1,-1,-2,-2,-2,-2,99.18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
7246,0,1,1,2,2,24,1700,0,0,0,0,0,0,339.37,174.01,192.38,151.44,174.15,194.43,41.04,70.62,34.2,70.79,68.4,353.18,0.1209,0.4058,0.1778,0.4674,0.3928,1
7474,0,2,1,1,1,38,5500,1,-1,-1,-2,-2,-2,0,17.07,0,0,0,0,17.07,0,0,0,0,0,1,0,1,1,1,1
22080,0,2,,,2,,4100,-1,-1,-2,-1,0,0,49.59,0,0,40.6,40.6,40.6,0,0,40.6,0,0,0,0,1,1,0,0,0
21864,0,2,2,1,2,27,5100,0,-1,0,-1,-1,-1,273.6,445.42,335.47,273.6,27.36,36.66,445.42,102.6,277.02,27.36,86.32,851.65,1,0.2303,0.8258,0.1,1,1
15222,0,2,2,,1,,5100,0,0,0,0,0,-1,601.71,507.87,544.43,348.05,272.03,275.28,55.03,68.4,34.2,0,275.28,34.2,0.0915,0.1347,0.0628,0,1,0.1242
671,0,1,2,2,2,34,1000,2,-1,2,2,2,2,3405.23,1105.55,1088.93,1267.97,1288.04,1262.12,1128.6,1128.6,198.7,45.32,0,105.85,0.3314,1,0.1825,0.0357,0,0.0839
2289,0,2,1,2,2,28,2400,1,2,0,0,0,0,1202.3,909.65,779.52,791.94,848.5,938.21,0.79,55.99,34.2,68.4,102.84,103.08,0.0007,0.0616,0.0439,0.0864,0.1212,0.1099
78,0,3,,,1,,10300,-1,-1,-1,-1,-1,-1,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,1,1,1,1,1,1
