Log_Cum_Production,Log_Proppant_LB,Log_Carbonate,Log_Frac_Fluid_GL,Log_GrossPerforatedInterval,Log_LowerPerforation_xy,Log_UpperPerforation_xy,Log_TotalDepth,N_Stages,X_Well,Y_Well,Operator,County
12.23815254,13.92531518,0.779820494,14.76491725,7.926241523,9.135401285,8.825559855,9.061608318,9,-97.56065,32.6365,1,11
12.81044599,13.19179429,0.826583745,14.04512115,7.866722285,9.113609183,8.97055918,9.298351249,6,-97.32242,32.81973,1,13
11.30485524,14.18850757,1.943306929,14.5513091,8.061802275,9.033841828,8.797850649,8.765458532,4,-97.80391,32.72011,1,11
12.92143376,13.54893745,2.046585595,14.66854195,7.571473649,9.145054905,8.991562278,9.251290358,8,-97.57937,32.77724,1,11
11.8697394,14.70730366,0.094671224,15.59848757,7.53796266,9.315330819,8.908018323,9.386979146,8,-97.51588,32.88015,1,13
12.77914322,13.57088797,1.620060397,14.70992862,7.556950572,9.150378031,9.01845321,9.282381925,10,-97.11884,32.80549,1,13
12.52435909,14.18431168,1.326134727,15.02745153,6.551080335,9.133783249,8.878358041,9.254357257,7,-97.52909,32.81567,1,13
13.34280408,14.46573197,2.650047532,15.47774659,7.571988449,9.242032819,8.983439772,9.25636481,6,-97.25944,32.57285,1,13
12.27654509,14.49892099,0.431117538,14.4945507,7.804251384,9.079662048,8.753529337,9.185535253,7,-97.81298,32.90674,1,11
12.62979016,14.48333993,0.240839613,14.71274813,8.191463051,9.102866514,8.809862805,9.278466201,11,-97.52139,32.30935,1,9
13.3065299,15.96964205,1.277527811,15.98982787,7.903965634,9.516353401,9.016148643,9.165343006,12,-97.14869,32.50164,1,9
12.93464247,14.20924041,1.713000224,15.09234936,7.544332108,9.214332393,8.957252944,9.265775079,13,-97.48215,33.13325,1,14
12.46917894,13.7954609,1.092766826,15.23928205,7.486613313,9.398644,8.998507612,9.292381082,13,-97.24765,32.2515,1,9
12.68500504,13.20945808,0.719167268,14.01811992,7.396948603,9.183893722,8.886547413,9.372969295,7,-97.42537,32.32653,1,9
12.20110533,15.07158233,1.098110346,14.70557969,7.206377291,9.194515822,8.604287898,9.174713194,12,-98.11638,32.40946,1,5
11.81711061,13.64460361,1.113527334,14.97396285,7.760467029,9.357034751,9.109635668,9.12314716,6,-97.21142,32.06246,1,6
13.7961422,13.90095404,0.33166287,15.1460279,7.572502985,9.319015389,8.955060951,9.252153875,3,-97.30171,32.63764,1,13
12.69598919,13.79354303,1.283995773,14.52014056,8.070280893,9.194312611,8.9185164,9.168580438,11,-97.44252,32.68779,1,13
13.00429355,14.05249784,0.278329215,14.31695471,7.651595574,9.108529106,8.966866554,9.172638505,5,-97.2967,32.54549,1,9
12.80215811,14.26658618,2.016687692,14.93113334,7.142036575,9.121836973,8.947025656,9.306740866,13,-97.29918,33.03301,1,3
13.26652779,15.18414998,1.272559012,11.83137192,8.068089626,9.260082464,8.915969311,9.287394001,7,-97.30344,32.81923,1,13
11.99998285,14.83370785,0.762149032,14.64569162,8.134760782,9.29293367,8.992184362,9.118773178,9,-97.34721,32.1118,1,6
10.01636971,12.83551562,-0.290499312,13.13149753,7.972810784,8.950532836,8.761393485,9.270023374,3,-98.03894,33.07429,1,8
11.37693391,14.80356366,1.225245103,14.21129294,7.668561108,9.000976444,8.527143522,9.314790473,6,-97.90831,32.2787,1,7
11.16679473,14.55152564,0.099458094,14.34058932,7.819234454,8.994668836,8.769040811,9.226508953,6,-97.6012,32.38379,1,9
13.0532255,14.31810238,1.889257619,14.97639505,8.272059622,9.384125598,9.033603193,9.288226911,12,-97.0455,32.94221,1,13
13.63083022,14.62421608,0.431913149,15.28260142,7.914983006,9.433243894,9.03539157,9.339173244,12,-97.07463,32.61247,1,13
12.29847405,13.77901253,-0.872664142,14.34581052,7.935587386,9.257605564,8.881836305,9.336091577,8,-97.45484,32.30298,1,9
12.4798865,13.66468767,2.584723571,15.40492003,7.811163385,9.141633174,8.809414944,8.911934336,12,-97.4984,32.37836,1,9
11.02874177,13.51589085,2.929506689,14.7752653,8.019612794,9.024131268,8.802372134,8.953510763,5,-97.53878,32.3476,2,9
11.9209606,12.72188581,2.064866094,14.04662228,7.897296473,8.958668737,8.802372134,9.238052811,9,-97.79904,32.69939,2,11
13.01813111,14.03114277,2.199720028,14.87208344,7.909122183,9.099185323,8.87961161,9.08545719,8,-97.52999,32.96321,2,13
11.89546307,14.13498195,-0.250886375,13.93403465,8.174984533,9.064967719,8.59858883,9.094480486,9,-98.18527,32.98365,2,10
12.37728691,14.79150313,0.901411702,14.63479335,7.688913337,9.129455643,8.785845338,9.299906815,12,-97.59321,32.26763,2,9
13.95601744,14.00265381,0.213111432,15.23644786,7.589841512,9.379238908,8.944680684,9.124019666,8,-97.30327,32.64095,2,13
12.27110636,14.24456198,0.875789109,14.11098668,7.776115477,9.207837242,8.868554041,9.193092479,4,-97.605,32.53899,2,9
13.10462498,14.3576953,1.559149189,14.74550299,7.918628653,9.217812387,9.015662793,9.244548543,9,-97.16921,32.56917,2,13
12.04501148,14.14869167,0.374923489,15.04675275,7.346655163,9.132919225,8.80762149,9.252441548,11,-97.48881,32.36187,2,9
12.48905745,13.6127332,1.705303371,14.67531982,8.165932137,9.194515822,8.879054662,9.126958763,13,-97.45254,32.41707,2,9
13.41045537,14.90957084,1.976005665,11.91839057,7.803843304,9.287301413,8.970813341,9.203315757,4,-97.48626,32.44181,3,9
12.65467387,14.04423849,2.068481509,15.23994861,7.853216388,9.305195903,9.112396728,9.107532152,6,-97.20492,33.21264,3,3
12.82298382,14.32353225,1.899793581,15.28032863,8.039802344,9.152181458,8.791790024,9.350971502,6,-97.70945,32.73002,3,11
12.80417536,14.50294143,2.447324357,15.38341998,7.038783541,9.251482315,8.960596139,9.215825302,7,-97.31973,32.22009,3,9
12.34799313,14.56031569,1.724672775,15.22003278,7.170119543,9.163458386,8.823206221,9.401786837,4,-97.78429,32.70352,3,11
12.88677015,15.01439192,2.116471893,11.69524702,7.759187439,9.114930187,8.811056123,9.137769679,12,-97.58169,32.40193,3,9
